relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
1	2.0	2	0	0	4	0	0	0	28	2	0.56
1	0.29	3	1	0	0	0	1	0	8	7	0.17
1	2.5	5	0	0	4	0	1	0	12	2	0.43
1	0.0	1	0	0	0	0	0	0	3	1	0.5
1	0.0	1	0	0	0	0	0	0	148	1	0.56
1	0.0	2	0	1	0	0	0	0	0	1	0.0
1	0.0	1	0	0	0	0	0	0	24	10	0.65
1	1.5	5	0	0	4	0	1	0	89	6	0.48
1	4.73	4	14	14	0	0	0	0	97	15	0.53
1	2.0	2	0	0	2	0	0	0	8	1	0.38
1	1.6	5	0	0	4	0	1	0	43	5	0.6
1	2.0	2	0	0	10	0	0	0	25	5	0.54
1	4.5	4	7	7	0	0	0	0	90	8	0.41
1	1.75	5	0	0	4	0	1	0	33	4	0.65
1	0.0	1	0	10	0	0	0	0	24	9	0.44
1	1.5	5	0	0	4	0	1	0	61	6	0.58
1	4.2	4	4	4	0	0	0	0	62	5	0.41
1	0.0	1	0	11	0	0	0	0	28	10	0.54
1	1.43	5	0	0	4	0	1	0	26	7	0.51
1	2.0	2	0	0	8	0	0	0	7	4	0.39
1	4.0	5	0	0	4	0	1	0	5	1	0.2
1	1.38	5	0	0	4	0	1	0	31	8	0.53
1	2.0	2	0	0	2	0	0	0	15	1	0.65
1	0.0	1	0	0	0	0	0	0	113	1	0.48
1	0.0	1	0	0	0	0	0	0	48	1	0.48
1	2.0	2	0	0	16	0	0	0	28	8	0.61
1	2.0	2	0	0	10	0	0	0	23	5	0.61
1	0.0	1	0	0	0	0	0	0	92	1	0.52
1	1.5	5	0	0	4	0	1	0	12	6	0.28
1	0.0	2	0	9	0	0	0	0	14	1	0.3
1	0.0	1	0	0	0	0	0	0	10	8	0.56
1	1.38	5	0	0	4	0	1	0	32	8	0.54
1	1.75	5	0	0	4	0	1	0	21	4	0.48
1	1.43	5	0	0	4	0	1	0	39	7	0.51
1	0.0	1	0	0	0	0	0	0	6	1	0.6
1	1.0	2	0	7	0	0	0	0	18	6	0.44
1	2.0	2	0	0	10	0	0	0	27	5	0.47
1	0.0	1	0	0	0	0	0	0	5	5	0.5
1	0.0	1	0	10	0	0	0	0	25	9	0.54
1	1.43	5	0	0	4	0	1	0	54	7	0.59
1	0.75	2	0	3	0	0	0	0	32	4	0.68
1	0.0	2	1	6	0	0	0	0	4	1	0.12
1	2.0	2	0	0	6	0	0	0	22	3	0.69
1	0.5	2	0	2	0	0	0	0	39	4	0.67
