relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	5	0	10	1	2	0	0	0	35	3	0	1	0.36
0	7	0	0	14	6	0	23	0	95	128	26	23	0.57
1	4	0	0	11	0	0	0	0	65	11	11	11	0.48
1	4	0	0	6	0	0	0	0	15	6	6	6	0.57
1	6	2	0	1	0	0	2	0	46	24	0	6	0.49
1	3	0	0	0	0	0	0	0	149	99	117	117	0.43
0	4	2	0	0	0	0	0	20	14	12	4	4	0.48
0	7	0	0	11	5	0	17	0	84	107	25	23	0.59
1	6	2	0	1	0	0	2	0	39	18	0	5	0.46
0	5	0	0	12	0	0	1	0	20	5	5	2	0.39
0	7	0	0	0	0	3	2	0	3	1	0	1	0.75
1	7	0	0	1	0	7	1	0	43	6	0	3	0.43
1	2	0	0	0	0	0	0	0	22	30	0	15	0.27
1	6	2	0	1	0	0	2	0	44	22	0	6	0.47
1	10	0	3	1	0	0	6	0	48	9	9	9	0.42
1	3	0	0	0	0	0	0	0	36	67	0	34	0.16
1	3	0	0	0	0	0	0	0	22	34	0	17	0.27
0	7	0	0	9	4	0	13	0	82	86	24	23	0.58
0	7	0	0	13	6	0	20	0	115	128	26	23	0.57
0	3	4	0	0	0	0	0	0	16	8	1	5	0.24
1	2	0	0	0	0	0	0	0	32	42	0	21	0.31
0	3	3	0	0	0	0	0	0	10	6	1	4	0.15
0	7	0	0	14	6	0	22	0	94	128	26	23	0.52
0	6	0	0	12	0	0	0	0	16	2	0	1	0.1
0	4	0	0	13	0	0	0	0	11	17	0	4	0.52
0	7	0	0	9	4	0	11	0	78	86	24	23	0.54
1	10	0	3	1	0	0	8	0	49	9	9	9	0.42
0	3	9	0	0	0	0	0	0	14	18	1	10	0.28
1	4	0	4	0	0	0	0	0	155	122	135	135	0.36
1	6	0	3	1	0	0	6	0	30	4	4	4	0.41
1	6	2	0	1	0	0	2	0	38	18	0	5	0.46
0	5	1	0	2	0	0	0	0	5	15	0	5	0.27
0	5	3	0	3	0	0	0	0	4	2	0	1	0.23
